Date,time,Allocate memory,%used
2020/10/30,20:00:45,1604059245,28.9188
2020/10/30,19:57:45,1604059065,29.3045
2020/10/30,19:54:45,1604058885,37.5497
2020/10/30,19:51:45,1604058705,33.5771
2020/10/30,19:48:45,1604058525,33.1044
2020/10/30,19:45:45,1604058345,32.9876
2020/10/30,19:42:45,1604058165,33.0013
2020/10/30,19:39:45,1604057985,33.2854
2020/10/30,19:36:45,1604057805,32.2345
2020/10/30,19:33:45,1604057625,28.3783
2020/10/30,19:30:45,1604057445,28.3589
2020/10/30,19:27:45,1604057265,28.4629
2020/10/30,19:24:45,1604057085,28.6812
2020/10/30,19:21:45,1604056905,31.2434
2020/10/30,19:18:45,1604056725,31.4137
2020/10/30,19:15:45,1604056545,29.6514
2020/10/30,19:12:45,1604056365,29.5979
2020/10/30,19:09:45,1604056185,30.1284
2020/10/30,19:06:45,1604056005,34.7701
2020/10/30,19:03:45,1604055825,34.0936
2020/10/30,19:00:45,1604055645,29.6902
2020/10/30,18:57:45,1604055465,29.6162
2020/10/30,18:54:45,1604055285,29.693
2020/10/30,18:51:45,1604055105,29.6526
2020/10/30,18:48:45,1604054925,30.1092
2020/10/30,18:45:45,1604054745,29.7715
2020/10/30,18:42:45,1604054565,30.2308
2020/10/30,18:39:45,1604054385,29.5881
2020/10/30,18:36:45,1604054205,29.8861
2020/10/30,18:33:45,1604054025,29.2834
2020/10/30,18:30:45,1604053845,45.3382
2020/10/30,18:27:45,1604053665,29.1604
2020/10/30,18:24:45,1604053485,28.3788
2020/10/30,18:21:45,1604053305,28.3744
2020/10/30,18:18:45,1604053125,28.6308
2020/10/30,18:15:45,1604052945,28.7707
2020/10/30,18:12:45,1604052765,28.2709
2020/10/30,18:09:45,1604052585,28.5953
2020/10/30,18:06:45,1604052405,28.3514
2020/10/30,18:03:45,1604052225,28.4752
2020/10/30,18:00:45,1604052045,28.5584
2020/10/30,17:57:45,1604051865,30.7503
2020/10/30,17:54:45,1604051685,28.1954
2020/10/30,17:51:45,1604051505,27.7969
2020/10/30,17:48:45,1604051325,33.3392
2020/10/30,17:45:45,1604051145,32.9768
2020/10/30,17:42:45,1604050965,32.6447
